Date : 2021-03-07 22:19:30
Directory : /home/andryh/dev/repos/Zanysound/src
Total : 201 files,  24989 codes, 1242 comments, 2300 blanks, all 28531 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/.prettierrc.js                                                                        | JavaScript       |          6 |          0 |          1 |          7 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/.watchmanconfig                                                                       | JSON             |          1 |          0 |          0 |          1 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/App.js                                                                                | JavaScript       |        215 |         24 |         26 |        265 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/__tests__/App-test.js                                                                 | JavaScript       |          7 |          4 |          4 |         15 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/app/build.gradle                                                              | Groovy           |         92 |        111 |         23 |        226 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/app/src/debug/AndroidManifest.xml                                             | XML              |          6 |          0 |          3 |          9 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/app/src/debug/java/com/react_native_ytdl_test_app/ReactNativeFlipper.java     | Java             |         59 |          8 |          6 |         73 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/app/src/main/AndroidManifest.xml                                              | XML              |         24 |          0 |          4 |         28 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/app/src/main/java/com/react_native_ytdl_test_app/MainActivity.java            | Java             |          8 |          4 |          4 |         16 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/app/src/main/java/com/react_native_ytdl_test_app/MainApplication.java         | Java             |         59 |         13 |          9 |         81 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/app/src/main/res/values/strings.xml                                           | XML              |          3 |          0 |          1 |          4 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/app/src/main/res/values/styles.xml                                            | XML              |          5 |          2 |          3 |         10 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/build.gradle                                                                  | Groovy           |         29 |          5 |          5 |         39 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/gradle.properties                                                             | Properties       |          3 |         19 |          7 |         29 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/gradle/wrapper/gradle-wrapper.properties                                      | Properties       |          5 |          0 |          1 |          6 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/gradlew.bat                                                                   | Batch            |         76 |          0 |         25 |        101 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/android/settings.gradle                                                               | Groovy           |          3 |          0 |          1 |          4 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/app.json                                                                              | JSON             |          4 |          0 |          0 |          4 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/babel.config.js                                                                       | JavaScript       |          3 |          0 |          1 |          4 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/index.js                                                                              | JavaScript       |          4 |          3 |          3 |         10 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/ios/react_native_ytdl_test_app/AppDelegate.h                                          | C++              |          5 |          0 |          4 |          9 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/ios/react_native_ytdl_test_app/AppDelegate.m                                          | Objective-C      |         48 |          0 |         11 |         59 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/ios/react_native_ytdl_test_app/Base.lproj/LaunchScreen.xib                            | XML              |         42 |          0 |          1 |         43 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/ios/react_native_ytdl_test_app/Images.xcassets/AppIcon.appiconset/Contents.json       | JSON             |         38 |          0 |          0 |         38 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/ios/react_native_ytdl_test_app/Images.xcassets/Contents.json                          | JSON             |          6 |          0 |          1 |          7 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/ios/react_native_ytdl_test_app/main.m                                                 | Objective-C      |          7 |          0 |          3 |         10 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/ios/react_native_ytdl_test_appTests/react_native_ytdl_test_appTests.m                 | Objective-C      |         51 |          0 |         15 |         66 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/metro.config.js                                                                       | JavaScript       |         10 |          6 |          2 |         18 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/package-lock.json                                                                     | JSON             |      9,783 |          0 |          1 |      9,784 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/package.json                                                                          | JSON             |         31 |          0 |          1 |         32 |
| /home/andryh/dev/repos/Zanysound/src/misc/DataContainer.js                                                                                                     | JavaScript       |          9 |          0 |          3 |         12 |
| /home/andryh/dev/repos/Zanysound/src/misc/EventSystem.js                                                                                                       | JavaScript       |         26 |          0 |          8 |         34 |
| /home/andryh/dev/repos/Zanysound/src/misc/ExtendedEvent.js                                                                                                     | JavaScript       |         38 |          0 |          9 |         47 |
| /home/andryh/dev/repos/Zanysound/src/misc/ModalWindowSystemRef.js                                                                                              | JavaScript       |          2 |          0 |          2 |          4 |
| /home/andryh/dev/repos/Zanysound/src/misc/Player.js                                                                                                            | JavaScript       |        347 |         13 |         69 |        429 |
| /home/andryh/dev/repos/Zanysound/src/misc/PlayerPlaybackListener.js                                                                                            | JavaScript       |         30 |          0 |         11 |         41 |
| /home/andryh/dev/repos/Zanysound/src/misc/PlayerPlaylist.js                                                                                                    | JavaScript       |        144 |          5 |         27 |        176 |
| /home/andryh/dev/repos/Zanysound/src/misc/PlayerTest.js                                                                                                        | JavaScript       |          7 |          3 |          4 |         14 |
| /home/andryh/dev/repos/Zanysound/src/misc/RootNavigation.js                                                                                                    | JavaScript       |         11 |          0 |          4 |         15 |
| /home/andryh/dev/repos/Zanysound/src/misc/snapshotIds.js                                                                                                       | JavaScript       |         11 |          0 |          3 |         14 |
| /home/andryh/dev/repos/Zanysound/src/misc/style.js                                                                                                             | JavaScript       |          2 |          0 |          1 |          3 |
| /home/andryh/dev/repos/Zanysound/src/models/ActionResult.js                                                                                                    | JavaScript       |         13 |          0 |          4 |         17 |
| /home/andryh/dev/repos/Zanysound/src/models/AlbumShortInfo.js                                                                                                  | JavaScript       |         55 |          0 |          6 |         61 |
| /home/andryh/dev/repos/Zanysound/src/models/ArtistShortInfo.js                                                                                                 | JavaScript       |         19 |          0 |          5 |         24 |
| /home/andryh/dev/repos/Zanysound/src/models/NotificationInfo.js                                                                                                | JavaScript       |         56 |          0 |         13 |         69 |
| /home/andryh/dev/repos/Zanysound/src/models/PlaylistShortInfo.js                                                                                               | JavaScript       |         22 |          0 |          4 |         26 |
| /home/andryh/dev/repos/Zanysound/src/models/SongModel.js                                                                                                       | JavaScript       |        115 |          0 |         18 |        133 |
| /home/andryh/dev/repos/Zanysound/src/models/TrackUrl.js                                                                                                        | JavaScript       |         19 |          0 |          4 |         23 |
| /home/andryh/dev/repos/Zanysound/src/models/UserModel.js                                                                                                       | JavaScript       |         27 |          0 |          5 |         32 |
| /home/andryh/dev/repos/Zanysound/src/storage/AsyncStorage.js                                                                                                   | JavaScript       |         11 |         10 |          7 |         28 |
| /home/andryh/dev/repos/Zanysound/src/styles/color.js                                                                                                           | JavaScript       |         19 |          7 |          4 |         30 |
| /home/andryh/dev/repos/Zanysound/src/styles/index.js                                                                                                           | JavaScript       |          4 |          0 |          2 |          6 |
| /home/andryh/dev/repos/Zanysound/src/styles/size.js                                                                                                            | JavaScript       |         12 |          7 |          3 |         22 |
| /home/andryh/dev/repos/Zanysound/src/styles/zIndexes.js                                                                                                        | JavaScript       |         14 |          0 |          2 |         16 |
| /home/andryh/dev/repos/Zanysound/src/utils/api/SRHApiUtils.js                                                                                                  | JavaScript       |         39 |          0 |          7 |         46 |
| /home/andryh/dev/repos/Zanysound/src/utils/api/apiUtils.js                                                                                                     | JavaScript       |          9 |          1 |          4 |         14 |
| /home/andryh/dev/repos/Zanysound/src/utils/api/audioApiUtils.js                                                                                                | JavaScript       |          8 |          0 |          3 |         11 |
| /home/andryh/dev/repos/Zanysound/src/utils/api/authApiUtils.js                                                                                                 | JavaScript       |          6 |          0 |          3 |          9 |
| /home/andryh/dev/repos/Zanysound/src/utils/api/deezerApiUtils.js                                                                                               | JavaScript       |        109 |          0 |         19 |        128 |
| /home/andryh/dev/repos/Zanysound/src/utils/api/playlistApiUtils.js                                                                                             | JavaScript       |         61 |          0 |         10 |         71 |
| /home/andryh/dev/repos/Zanysound/src/utils/api/songApiUtils.js                                                                                                 | JavaScript       |         29 |          3 |          8 |         40 |
| /home/andryh/dev/repos/Zanysound/src/utils/api/userApiUtils.js                                                                                                 | JavaScript       |         14 |          0 |          5 |         19 |
| /home/andryh/dev/repos/Zanysound/src/utils/arrayUtils.js                                                                                                       | JavaScript       |         46 |          0 |          8 |         54 |
| /home/andryh/dev/repos/Zanysound/src/utils/browserUtils.js                                                                                                     | JavaScript       |         31 |          0 |          2 |         33 |
| /home/andryh/dev/repos/Zanysound/src/utils/deviceUtils.js                                                                                                      | JavaScript       |         17 |          0 |          3 |         20 |
| /home/andryh/dev/repos/Zanysound/src/utils/domUtils.js                                                                                                         | JavaScript       |         11 |          0 |          4 |         15 |
| /home/andryh/dev/repos/Zanysound/src/utils/downloadUtils.js                                                                                                    | JavaScript       |         23 |          0 |          4 |         27 |
| /home/andryh/dev/repos/Zanysound/src/utils/eventUtils.js                                                                                                       | JavaScript       |         10 |          0 |          4 |         14 |
| /home/andryh/dev/repos/Zanysound/src/utils/historyUtils.js                                                                                                     | JavaScript       |          0 |          0 |          1 |          1 |
| /home/andryh/dev/repos/Zanysound/src/utils/idUtils.js                                                                                                          | JavaScript       |          6 |          0 |          2 |          8 |
| /home/andryh/dev/repos/Zanysound/src/utils/mathUtils.js                                                                                                        | JavaScript       |          7 |          0 |          3 |         10 |
| /home/andryh/dev/repos/Zanysound/src/utils/navigationUtils.js                                                                                                  | JavaScript       |          8 |          0 |          4 |         12 |
| /home/andryh/dev/repos/Zanysound/src/utils/notificationUtils.jsx                                                                                               | JavaScript React |         11 |          0 |          3 |         14 |
| /home/andryh/dev/repos/Zanysound/src/utils/numberUtils.js                                                                                                      | JavaScript       |          6 |          0 |          2 |          8 |
| /home/andryh/dev/repos/Zanysound/src/utils/routeUtils.js                                                                                                       | JavaScript       |         21 |          0 |          4 |         25 |
| /home/andryh/dev/repos/Zanysound/src/utils/scrollUtils.js                                                                                                      | JavaScript       |          4 |          4 |          3 |         11 |
| /home/andryh/dev/repos/Zanysound/src/utils/songRequestsUtils.js                                                                                                | JavaScript       |         18 |          0 |          5 |         23 |
| /home/andryh/dev/repos/Zanysound/src/utils/songUtils.js                                                                                                        | JavaScript       |         13 |          0 |          3 |         16 |
| /home/andryh/dev/repos/Zanysound/src/utils/stringUtils.js                                                                                                      | JavaScript       |         24 |          1 |          4 |         29 |
| /home/andryh/dev/repos/Zanysound/src/utils/styleUtils.js                                                                                                       | JavaScript       |          0 |          0 |          1 |          1 |
| /home/andryh/dev/repos/Zanysound/src/utils/timeUtils.js                                                                                                        | JavaScript       |         72 |          0 |         20 |         92 |
| /home/andryh/dev/repos/Zanysound/src/utils/toastUtils.js                                                                                                       | JavaScript       |         45 |          0 |          8 |         53 |
| /home/andryh/dev/repos/Zanysound/src/utils/urlUtils.js                                                                                                         | JavaScript       |         54 |          8 |         13 |         75 |
| /home/andryh/dev/repos/Zanysound/src/utils/youtubeUtils.js                                                                                                     | JavaScript       |         22 |          2 |          7 |         31 |
| Total                                                                                                                                                             |                  |     24,989 |      1,242 |      2,300 |     28,531 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
